Team,GP,W,L,OL,PTS,GF,GA,Season
Tampa Bay Lightning,82,62,16,4,128,325,222,2018
Boston Bruins,82,49,24,9,107,259,215,2018
Toronto Maple Leafs,82,46,28,8,100,286,251,2018
Montreal Canadiens,82,44,30,8,96,249,236,2018
Florida Panthers,82,36,32,14,86,267,280,2018
Buffalo Sabres,82,33,39,10,76,226,271,2018
Detroit Red Wings,82,32,40,10,74,227,277,2018
Ottawa Senators,82,29,47,6,64,242,302,2018
Washington Capitals,82,48,26,8,104,278,249,2018
New York Islanders,82,48,27,7,103,228,196,2018
Pittsburgh Penguins,82,44,26,12,100,273,241,2018
Carolina Hurricanes,82,46,29,7,99,245,223,2018
Columbus Blue Jackets,82,47,31,4,98,258,232,2018
Philadelphia Flyers,82,37,37,8,82,244,281,2018
New York Rangers,82,32,36,14,78,227,272,2018
New Jersey Devils,82,31,41,10,72,222,275,2018
Nashville Predators,82,47,29,6,100,240,214,2018
Winnipeg Jets,82,47,30,5,99,272,244,2018
St. Louis Blues,82,45,28,9,99,247,223,2018
Dallas Stars,82,43,32,7,93,210,202,2018
Colorado Avalanche,82,38,30,14,90,260,246,2018
Chicago Blackhawks,82,36,34,12,84,270,292,2018
Minnesota Wild,82,37,36,9,83,211,237,2018
Calgary Flames,82,50,25,7,107,289,227,2018
San Jose Sharks,82,46,27,9,101,289,261,2018
Vegas Golden Knights,82,43,32,7,93,249,230,2018
Arizona Coyotes,82,39,35,8,86,213,223,2018
Vancouver Canucks,82,35,36,11,81,225,254,2018
Anaheim Ducks,82,35,37,10,80,199,251,2018
Edmonton Oilers,82,35,38,9,79,232,274,2018
Los Angeles Kings,82,31,42,9,71,202,263,2018
Tampa Bay Lightning,82,54,23,5,113,296,236,2017
Boston Bruins,82,50,20,12,112,270,214,2017
Toronto Maple Leafs,82,49,26,7,105,277,232,2017
Florida Panthers,82,44,30,8,96,248,246,2017
Detroit Red Wings,82,30,39,13,73,217,255,2017
Montreal Canadiens,82,29,40,13,71,209,264,2017
Ottawa Senators,82,28,43,11,67,221,291,2017
Buffalo Sabres,82,25,45,12,62,199,280,2017
Washington Capitals,82,49,26,7,105,259,239,2017
Pittsburgh Penguins,82,47,29,6,100,272,250,2017
Philadelphia Flyers,82,42,26,14,98,251,243,2017
Columbus Blue Jackets,82,45,30,7,97,242,230,2017
New Jersey Devils,82,44,29,9,97,248,244,2017
Carolina Hurricanes,82,36,35,11,83,228,256,2017
New York Islanders,82,35,37,10,80,264,296,2017
New York Rangers,82,34,39,9,77,231,268,2017
Vegas Golden Knights,82,51,24,7,109,272,228,2017
Anaheim Ducks,82,44,25,13,101,235,216,2017
San Jose Sharks,82,45,27,10,100,252,229,2017
Los Angeles Kings,82,45,29,8,98,239,203,2017
Calgary Flames,82,37,35,10,84,218,248,2017
Edmonton Oilers,82,36,40,6,78,234,263,2017
Vancouver Canucks,82,31,40,11,73,218,264,2017
Arizona Coyotes,82,29,41,12,70,208,256,2017
Nashville Predators,82,53,18,11,117,267,211,2017
Winnipeg Jets,82,52,20,10,114,277,218,2017
Minnesota Wild,82,45,26,11,101,253,232,2017
Colorado Avalanche,82,43,30,9,95,257,237,2017
St. Louis Blues,82,44,32,6,94,226,222,2017
Dallas Stars,82,42,32,8,92,235,225,2017
Chicago Blackhawks,82,33,39,10,76,229,256,2017